"","company","salary"
"1","Cisco","$190,456 per year"
"2","Harnham","$158,612 per year"
"3","Sears","$154,751 per year"
"4","Apple","$151,340 per year"
"5","Staples","$150,979 per year"
"6","Airbnb","$148,493 per year"
"7","Walmart","$158,363 per year"
"8","Facebook","$145,249 per year"
"9","Saama Technologies","$141,752 per year"
"10","Groupon","$135,257 per year"
"11","CyberCoders","$136,052 per year"
"12","Airbnb","$137,702 per year"
"13","Walmart","$136,247 per year"
"14","Facebook","$135,175 per year"
"15","Saama Technologies","$120,397 per year"
"16","Groupon","$129,791 per year"
"17","Jobspring Partners","$129,345 per year"
"18","PayPal","$129,076 per year"
"19","TechInMotion","$124,556 per year"
"20","AT&T","$126,042 per year"
"21","GE Corporate","$125,067 per year"
"22","Microsoft","$125,011 per year"
"23","Uber","$119,523 per year"
"24","Intel","$116,103 per year"
"25","Dell","$120,486 per year"
"26","The Home Depot","$113,027 per year"
"27","Liberty Mutual","$115,557 per year"
"28","IBM","$107,669 per year"
"29","Comcast","$103,569 per year"
"30","Google","$110,231 per year"
"31","JPMorgan Chase","$111,509 per year"
"32","Booz Allen Hamilton","$109,501 per year"
"33","Indeed","$107,190 per year"
"34","Aetna","$106,539 per year"
"35","Tata Consultancy Services (TCS)","$105,868 per year"
"36","Boeing","$111,280 per year"
"37","Nokia","$116,693 per year"
"38","TripAdvisor","$100,388 per year"
"39","Capital One","$100,226 per year"
"40","The Advisory Board Company","$95,860 per year"
"41","CA Technologies","$97,942 per year"
"42","Monsanto","$97,071 per year"
"43","Infosys","$95,796 per year"
"44","Wayfair","$85,035 per year"
"45","Nielsen","$82,661 per year"
"46","National Security Agency","$81,383 per year"
"47","Ford Motor Company","$87,871 per year"
"48","Oracle","$79,935 per year"
"49","University of California Berkeley","$61,837 per year"
"50","Department of the Interior","$60,122 per year"
"51","Request Technology","$112,236 per year"
"52","Robert Half Technology","$110,525 per year"
"53","Motion Recruitment Partners Prod","$158,125 per year"
"54","Smith Hanley Associates, LLC","$116,783 per year"
"55","Career Brokers, Inc.","$117,727 per year"
"56","All","$124,409 per year"
"57","Glocomms","$149,770 per year"
"58","Professional Recruiting Partners, LLC","$123,887 per year"
"59","Bio","$126,311 per year"
"60","Tri","$126,172 per year"
"61","Fowler Placement Services, Inc.","$125,799 per year"
"62","Ploeger Recruiting Services","$126,076 per year"
"63","CMD And Associates","$125,906 per year"
"64","Plastic Executive Recruiters","$126,076 per year"
"65","PSU Personnel Services Unlimited, Inc.","$127,877 per year"
"66","Lodestar Executive Search","$125,851 per year"
"67","SearchStars","$128,031 per year"
"68","Onboard.jobs","$125,523 per year"
"69","Hire Horizons","$128,138 per year"
"70","Technology Recruiting Solutions, Inc.","$126,530 per year"
"71","True North Consultants","$126,530 per year"
"72","MJ Recruiters, LLC","$126,301 per year"
"73","AutoPro Technical Recruiting","$126,301 per year"
"74","Prevalent Group","$126,301 per year"
"75","Helffrich International","$126,674 per year"
"76","JDP Search Group","$126,104 per year"
"77","Emerald Resource Group","$104,831 per year"
"78","Analytic Recruiting","$127,594 per year"
"79","Client Staffing Solutions","$127,059 per year"
"80","Systematic business consulting","$126,844 per year"
"81","Bertram & Associates","$126,227 per year"
"82","Prosigo Executive Search","$129,893 per year"
"83","Oliver James Associates","$150,728 per year"
"84","Kforce","$140,389 per year"
"85","ICONSTAFF","$145,432 per year"
"86","Step Beyond","$128,476 per year"
"87","Rang Technologies Inc.","$79,529 per year"
"88","Superior Search Consultants, Inc.","$128,882 per year"
"89","Affinity Executive Search","$124,225 per year"
"90","The Job Jobber","$135,332 per year"
"91","MMS Group","$118,187 per year"
"92","Jim Crumpley & Associates","$129,421 per year"
"93","Nigel Frank International","$120,068 per year"
"94","Ability Professional Network","$124,530 per year"
"95","ONESource Technical","$125,413 per year"
"96","Clifton Johnson Associates, Inc.","$123,259 per year"
"97","Hirewell","$123,831 per year"
"98","Burtch Works","$135,570 per year"
"99","LinkedIn","$138,988 per year"
"100","Intelletec","$185,233 per year"
"101","CHASE Professionals","$113,037 per year"
"102","GQR Global Markets","$177,033 per year"
"103","The Bivium Group","$113,446 per year"
"104","Rinalytics Advisors","$162,284 per year"
"105","Twitter","$132,184 per year"
"106","Diversity Search","$128,048 per year"
"107","NORTH STAR","$188,402 per year"
"108","Piper Companies","$170,592 per year"
"109","Lawrence Harvey","$153,480 per year"
"110","Principle Solutions Group","$120,625 per year"
"111","Computer Futures Solutions","$127,830 per year"
"112","Ezra Penland Actuarial Recruitment","$129,678 per year"
"113","TEKsystems","$96,922 per year"
"114","Big Wednesday Digital","$120,849 per year"
